STORE_NUM,SALES_AREA_SIZE_NUM,SEG_VALUE_NAME,intercept,upscale,value,storeIndex,size
367,24721,VALUE,1,0,1,1,-24.70317105263158
387,44547,UPSCALE,1,1,0,2,-4.87717105263158
389,46073,MAINSTREAM,1,0,0,3,-3.35117105263158
613,64926,MAINSTREAM,1,0,0,4,15.50182894736842
623,46930,MAINSTREAM,1,0,0,5,-2.49417105263158
2277,81958,UPSCALE,1,1,0,6,32.53382894736842
2279,44175,MAINSTREAM,1,0,0,7,-5.2491710526315805
2281,68500,UPSCALE,1,1,0,8,19.07582894736842
2495,48462,MAINSTREAM,1,0,0,9,-0.9621710526315801
2505,41644,MAINSTREAM,1,0,0,10,-7.78017105263158
2513,61833,UPSCALE,1,1,0,11,12.40882894736842
2523,34373,VALUE,1,0,1,12,-15.051171052631581
2541,29231,MAINSTREAM,1,0,0,13,-20.19317105263158
4245,58563,MAINSTREAM,1,0,0,14,9.13882894736842
4259,48813,VALUE,1,0,1,15,-0.6111710526315801
4489,49030,UPSCALE,1,1,0,16,-0.3941710526315801
4503,56230,MAINSTREAM,1,0,0,17,6.80582894736842
4521,34628,MAINSTREAM,1,0,0,18,-14.79617105263158
6179,54448,UPSCALE,1,1,0,19,5.02382894736842
6187,55474,MAINSTREAM,1,0,0,20,6.04982894736842
6379,50237,MAINSTREAM,1,0,0,21,0.8128289473684199
6431,43698,VALUE,1,0,1,22,-5.72617105263158
8041,49074,MAINSTREAM,1,0,0,23,-0.3501710526315801
8263,51055,UPSCALE,1,1,0,24,1.6308289473684199
9825,54124,MAINSTREAM,1,0,0,25,4.69982894736842
10019,35675,VALUE,1,0,1,26,-13.74917105263158
11757,32943,MAINSTREAM,1,0,0,27,-16.48117105263158
11761,53905,UPSCALE,1,1,0,28,4.48082894736842
11967,25072,VALUE,1,0,1,29,-24.35217105263158
11993,57741,UPSCALE,1,1,0,30,8.31682894736842
12011,41325,MAINSTREAM,1,0,0,31,-8.09917105263158
13609,55663,MAINSTREAM,1,0,0,32,6.23882894736842
13827,50766,MAINSTREAM,1,0,0,33,1.34182894736842
13837,49164,MAINSTREAM,1,0,0,34,-0.2601710526315801
13853,53586,MAINSTREAM,1,0,0,35,4.16182894736842
13859,47824,MAINSTREAM,1,0,0,36,-1.60017105263158
15531,33667,VALUE,1,0,1,37,-15.75717105263158
15541,38858,MAINSTREAM,1,0,0,38,-10.56617105263158
15547,48132,MAINSTREAM,1,0,0,39,-1.2921710526315802
15755,34373,VALUE,1,0,1,40,-15.051171052631581
15763,47530,UPSCALE,1,1,0,41,-1.89417105263158
15765,49068,MAINSTREAM,1,0,0,42,-0.3561710526315801
17599,36994,VALUE,1,0,1,43,-12.43017105263158
17615,48632,MAINSTREAM,1,0,0,44,-0.79217105263158
17627,59213,MAINSTREAM,1,0,0,45,9.78882894736842
19265,55685,MAINSTREAM,1,0,0,46,6.26082894736842
19521,47757,UPSCALE,1,1,0,47,-1.6671710526315802
19523,48594,VALUE,1,0,1,48,-0.8301710526315801
19533,48330,MAINSTREAM,1,0,0,49,-1.09417105263158
21213,46630,MAINSTREAM,1,0,0,50,-2.79417105263158
21221,48128,VALUE,1,0,1,51,-1.2961710526315802
21227,85710,UPSCALE,1,1,0,52,36.28582894736842
21237,86517,MAINSTREAM,1,0,0,53,37.09282894736842
21479,49104,VALUE,1,0,1,54,-0.3201710526315801
21485,46369,MAINSTREAM,1,0,0,55,-3.05517105263158
23055,22920,VALUE,1,0,1,56,-26.50417105263158
23061,42437,MAINSTREAM,1,0,0,57,-6.98717105263158
23067,37319,MAINSTREAM,1,0,0,58,-12.10517105263158
23075,51105,MAINSTREAM,1,0,0,59,1.68082894736842
23327,50722,MAINSTREAM,1,0,0,60,1.29782894736842
23345,46369,UPSCALE,1,1,0,61,-3.05517105263158
23349,46212,VALUE,1,0,1,62,-3.21217105263158
24991,77730,UPSCALE,1,1,0,63,28.30582894736842
25001,34177,VALUE,1,0,1,64,-15.24717105263158
25021,62961,VALUE,1,0,1,65,13.53682894736842
25027,62656,MAINSTREAM,1,0,0,66,13.23182894736842
25229,59241,MAINSTREAM,1,0,0,67,9.81682894736842
25233,46369,VALUE,1,0,1,68,-3.05517105263158
25253,33931,MAINSTREAM,1,0,0,69,-15.49317105263158
25261,46368,MAINSTREAM,1,0,0,70,-3.05617105263158
26973,48128,MAINSTREAM,1,0,0,71,-1.2961710526315802
26981,42081,MAINSTREAM,1,0,0,72,-7.34317105263158
26983,48782,VALUE,1,0,1,73,-0.6421710526315801
27175,50224,UPSCALE,1,1,0,74,0.7998289473684199
28909,85876,MAINSTREAM,1,0,0,75,36.45182894736842
29159,54927,MAINSTREAM,1,0,0,76,5.50282894736842
